Entity,Code,Year,Mean,Median,Gap,GapRatio
Indonesia,IDN,1984,1.97129548,1.60864448547363,0.36265099452637006,0.18396582257996658
Indonesia,IDN,1987,1.99270332,1.6395137310028,0.3531895889971999,0.1772414315028089
Indonesia,IDN,1990,2.4384532,1.98009860515594,0.45835459484406016,0.1879694040648638
Indonesia,IDN,1993,2.48905635,1.99110770225524,0.4979486477447599,0.20005519270174815
Indonesia,IDN,1996,2.99691582,2.312744140625,0.6841716793749999,0.22829192425398184
Indonesia,IDN,1998,2.21946359,1.80688083171844,0.4125827582815602,0.1858930059229132
Indonesia,IDN,1999,3.01856422,2.45427703857421,0.5642871814257902,0.18693893530142955
Indonesia,IDN,2000,3.00977421,2.4639184474945,0.5458557625054996,0.18136103389147576
Indonesia,IDN,2001,3.18426228,2.56569170951843,0.61857057048157,0.19425867472247607
Indonesia,IDN,2002,3.82124972,3.09915971755981,0.72209000244019,0.18896697555798314
Indonesia,IDN,2003,3.81137276,3.15483427047729,0.6565384895227098,0.17225774828770876
Indonesia,IDN,2004,3.83668303,3.15058183670043,0.68610119329957,0.17882665519532637
Indonesia,IDN,2005,4.00963259,3.33468651771545,0.6749460722845497,0.16833115182868907
Indonesia,IDN,2006,3.81022811,3.12106561660766,0.6891624933923404,0.18087171515627193
Indonesia,IDN,2007,4.25404167,3.35649394989013,0.8975477201098703,0.2109870541324223
Indonesia,IDN,2008,4.37431669,3.49669122695922,0.8776254630407796,0.20063144148824297
Indonesia,IDN,2009,4.42362499,3.47993493080139,0.9436900591986106,0.21332957954887818
Indonesia,IDN,2010,4.86520529,3.77408027648925,1.0911250135107498,0.22427111467494723
Indonesia,IDN,2011,5.42475033,3.97374153137207,1.4510087986279303,0.267479369622515
Indonesia,IDN,2012,5.69465971,4.20492267608642,1.4897370339135803,0.26160246788716024
Indonesia,IDN,2013,5.92833233,4.22304725646972,1.7052850735302796,0.2876500470293776
Indonesia,IDN,2014,6.06040001,4.36807107925415,1.69232893074585,0.27924376740040463
Indonesia,IDN,2015,6.25361967,4.61120748519897,1.6424121848010298,0.26263384591167976
Indonesia,IDN,2016,6.61656141,5.02549648284912,1.5910649271508799,0.24046703847503167
Indonesia,IDN,2017,7.03939247,5.3755235671997,1.6638689028003002,0.2363654121987462
Indonesia,IDN,2018,7.42871618,5.68061161041259,1.7481045695874107,0.23531718364658408
Indonesia,IDN,2019,7.50805664,5.8168773651123,1.6911792748877001,0.22524860373025904
Indonesia,IDN,2020,7.70099401,5.95242309570312,1.74857091429688,0.22705782033154445
Indonesia,IDN,2021,7.95818472,6.15093517303466,1.8072495469653402,0.22709318903134737
Indonesia,IDN,2022,7.91340971,6.06476831436157,1.8486413956384302,0.23360870514543727
Indonesia,IDN,2023,8.16053104,6.16797828674316,1.9925527532568408,0.24416949626072873
Indonesia,IDN,2024,8.25537586,6.33853483200073,1.9168410279992694,0.23219306552557978
Indonesia,IDN,2025,8.61271667,6.65595245361328,1.956764216386719,0.227194773886219
Iran,IRN,1986,8.70366287,5.78874969482421,2.9149131751757906,0.3349064892234033
Iran,IRN,1990,7.767241,5.55965137481689,2.20758962518311,0.2842179900408794
Iran,IRN,1994,8.96333408,6.41294431686401,2.550389763135989,0.28453583681843414
Iran,IRN,1998,9.66663647,6.81138849258422,2.8552479774157806,0.2953714031014741
Iran,IRN,2005,14.8736629,10.4785213470458,4.395141552954199,0.29549826310465854
Iran,IRN,2006,15.2943506,10.4778652191162,4.816485380883799,0.31491924743008043
Iran,IRN,2009,14.7429962,10.8088493347167,3.934146865283301,0.2668485301029448
Iran,IRN,2011,12.2738819,9.95498657226562,2.3188953277343796,0.1889292521002976
Iran,IRN,2012,12.4398232,10.0337343215942,2.4060888784058,0.19341825359751094
Iran,IRN,2013,11.9253616,9.62719535827636,2.2981662417236404,0.1927124995290407
Iran,IRN,2014,11.5563593,9.29808902740478,2.2582702725952206,0.1954136431700614
Iran,IRN,2015,11.7931051,9.38822174072265,2.404883359277351,0.2039228293892972
Iran,IRN,2016,11.9433126,9.39697742462158,2.5463351753784202,0.21320175236629244
Iran,IRN,2017,12.7082548,9.88432788848877,2.823926911511231,0.22221201541467606
Iran,IRN,2018,12.2233887,9.39677619934082,2.826612500659179,0.23124622557893287
Iran,IRN,2019,10.9882278,8.67693901062011,2.3112887893798906,0.21034227096929045
Iran,IRN,2020,10.7377396,8.51301574707031,2.2247238529296887,0.2071873537452602
Iran,IRN,2021,11.5738916,9.28743457794189,2.2864570220581104,0.1975530012790262
Iran,IRN,2022,12.0989237,9.79765701293945,2.3012666870605507,0.19020424825561555
Iran,IRN,2023,12.7831469,10.1860427856445,2.597104114355501,0.20316625746947342
Iraq,IRQ,2006,11.6209736,9.91145896911621,1.70951463088379,0.14710597319348442
Iraq,IRQ,2012,12.301425,10.465516090393,1.8359089096069994,0.14924359654324595
Iraq,IRQ,2023,12.9577179,10.8890171051025,2.0687007948975005,0.15965008737360306
Ireland,IRL,1987,20.0352306,16.4291286468505,3.6061019531494978,0.17998804331952625
Ireland,IRL,1994,29.2060909,22.4175701141357,6.7885207858643,0.2324351043454535
Ireland,IRL,1995,30.1440582,22.7352695465087,7.4087886534913,0.24577940383260338
Ireland,IRL,1996,31.5776749,24.818302154541,6.759372745459,0.21405542893403465
Ireland,IRL,2000,39.4803619,32.6619834899902,6.8183784100097995,0.17270303720315694
Ireland,IRL,2002,43.4648361,36.3254928588867,7.139343241113302,0.16425561170155437
Ireland,IRL,2003,44.5917473,37.0482940673828,7.543453232617203,0.1691670250521267
Ireland,IRL,2004,46.3141861,38.0349655151367,8.279220584863303,0.1787620874301255
Ireland,IRL,2005,48.6239281,38.9626235961914,9.661304503808601,0.19869444697966723
Ireland,IRL,2006,51.8486595,42.7028427124023,9.145816787597695,0.17639446951560428
Ireland,IRL,2007,51.4849091,42.12495803833,9.359951061670003,0.18179989486802847
